user_id,manga_id,rating
171747,44236,85
171747,51525,85
171747,72451,85
171747,77977,85
171747,82043,85
171747,85309,85
171747,85829,85
171747,85956,85
171747,87151,85
171747,87216,85
171747,95862,85
171747,97212,85
171747,99128,85
171747,99145,85
171747,99617,85
171747,99650,85
171747,101233,85
171747,101640,85
171747,105332,85
171747,107468,85
171747,107980,85
171747,108556,85
171747,109252,85
171747,109271,85
171747,109436,85
171747,109900,85
171747,123538,85
7421660,87423,80
7421660,103854,100
7421660,105398,80
7421660,107521,100
7421660,107918,100
7421660,108556,100
7421660,109219,80
7421660,111047,40
7421660,111103,80
7421660,115000,100
7421660,116170,100
7421660,116382,80
7421660,116600,60
7421660,118408,100
7421660,120222,60
7421660,120440,80
7421660,122177,100
7421660,125485,60
7421660,128435,60
7421660,132165,100
7421660,134671,80
7421660,136874,80
7421660,141199,80
7421660,141579,80
7421660,142372,80
7421660,143137,60
7421660,145551,80
7421660,146364,60
7421660,146498,80
7421660,147586,80
7421660,152427,40
7421660,156560,60
7421660,164599,100
7421660,167343,80
7421660,168355,60
7421660,186610,100
130793,42161,49
130793,57317,83
130793,72231,77
130793,72363,83
130793,72451,90
130793,74155,82
130793,80767,80
130793,81245,83
130793,85155,83
130793,85230,82
130793,85265,82
130793,85310,83
130793,85370,85
130793,85377,85
130793,85442,78
130793,85446,68
130793,85451,85
130793,85453,72
130793,85467,82
130793,85564,82
130793,85704,40
130793,85843,90
130793,85869,85
130793,85890,60
130793,86241,71
130793,86276,69
130793,86300,90
130793,86338,70
130793,86399,90
130793,86432,81
130793,86511,83
130793,86558,82
130793,86626,82
130793,86665,81
130793,86707,78
130793,86765,82
130793,86969,75
130793,87028,75
130793,87160,85
130793,87213,90
130793,87220,85
130793,87225,85
130793,87234,82
130793,87293,90
130793,87315,73
130793,87375,82
130793,87409,83
130793,87415,82
130793,87466,78
130793,87471,78
130793,95054,83
130793,95098,72
130793,95392,50
130793,95862,50
130793,95917,82
130793,95960,76
130793,96344,80
130793,96834,82
130793,97038,82
130793,97150,77
130793,97153,90
130793,97277,90
130793,97396,81
130793,97770,72
130793,97827,82
130793,97852,87
130793,97884,85
130793,97925,80
130793,98014,90
130793,98043,85
130793,98074,82
130793,98087,78
130793,98112,85
130793,98118,79
130793,98140,84
130793,98171,80
130793,98175,85
130793,98201,82
130793,98347,83
130793,98382,78
130793,98543,80
130793,98564,85
130793,98608,83
130793,98786,78
130793,98800,83
130793,98801,83
130793,98822,82
130793,98900,75
130793,98982,77
130793,98996,82
130793,99024,75
130793,99323,82
130793,99340,83
130793,99351,82
130793,99354,82
130793,99410,40
130793,99461,40
130793,99462,85
130793,99465,82
130793,99482,83
130793,99544,80
130793,99549,90
130793,99571,83
130793,99602,83
130793,99759,83
130793,99763,83
130793,99775,82
130793,99776,83
130793,99851,82
130793,99860,84
130793,99895,78
130793,99933,59
130793,99943,70
130793,100105,40
130793,100114,82
130793,100143,82
130793,100192,83
130793,100193,82
130793,100207,82
130793,100209,90
130793,100214,78
130793,100230,85
130793,100309,81
130793,100319,85
130793,100343,59
130793,100456,68
130793,100476,58
130793,100540,82
130793,100560,50
130793,100634,90
130793,100636,50
130793,100732,51
130793,100826,80
130793,100827,79
130793,100835,58
130793,100843,90
130793,100962,85
130793,101114,70
130793,101129,75
130793,101152,40
130793,101159,82
130793,101177,85
130793,101233,82
130793,101238,85
130793,101242,78
130793,101259,82
130793,101294,70
130793,101315,80
130793,101407,69
130793,101408,78
130793,101418,50
130793,101428,79
130793,101434,80
130793,101473,82
130793,101503,80
130793,101513,76
130793,101516,85
130793,101566,73
130793,101568,83
130793,101583,82
130793,101584,82
130793,101591,82
130793,101604,83
130793,101626,83
130793,101668,75
130793,101679,83
130793,101721,80
130793,101722,80
130793,101724,85
130793,101730,85
130793,101734,82
130793,101735,82
130793,101739,83
130793,101754,82
130793,101758,78
130793,101793,82
130793,101808,73
130793,101828,85
130793,101848,84
130793,101850,30
130793,101870,80
130793,101891,80
130793,101898,83
130793,101940,60
130793,101951,82
130793,102150,82
130793,102154,80
130793,102189,83
130793,102205,75
130793,102216,77
130793,102476,83
130793,102541,82
130793,102732,83
130793,102799,62
130793,102837,82
130793,102861,90
130793,102961,76
130793,103034,70
130793,103084,82
130793,103156,84
130793,103203,73
130793,103204,82
130793,103214,85
130793,103215,78
130793,103227,82
130793,103238,90
130793,103294,83
130793,103308,82
130793,103554,82
130793,103570,78
130793,103582,76
130793,103609,85
130793,103621,83
130793,103636,81
130793,103655,70
130793,103736,82
130793,103737,82
130793,103738,82
130793,103798,83
130793,103814,72
130793,103840,83
130793,103850,75
130793,103859,77
130793,103875,83
130793,103894,90
130793,103908,49
130793,104221,85
130793,104263,78
130793,104271,73
130793,104282,80
130793,104316,90
130793,104494,78
130793,104503,73
130793,104667,80
130793,104676,82
130793,104686,84
130793,104701,85
130793,104730,74
130793,104757,80
130793,104822,82
130793,104864,82
130793,104977,82
130793,104999,83
130793,105004,83
130793,105040,83
130793,105089,90
130793,105125,78
130793,105279,82
130793,105393,76
130793,105395,82
130793,105398,80
130793,105429,62
130793,105431,82
130793,105462,39
130793,105531,75
130793,105648,83
130793,105651,74
130793,105656,83
130793,105674,69
130793,105716,82
130793,105717,80
130793,105724,82
130793,105877,67
130793,106029,86
130793,106039,82
130793,106064,82
130793,106070,82
130793,106132,82
130793,106144,85
130793,106233,70
130793,106235,54
130793,106301,72
130793,106434,86
130793,106454,85
130793,106460,78
130793,106473,85
130793,106601,85
130793,106670,72
130793,106677,67
130793,106688,83
130793,106757,82
130793,106758,82
130793,106760,82
130793,106770,85
130793,106777,75
130793,106805,60
130793,106820,82
130793,106831,83
130793,106929,90
130793,106963,78
130793,107096,83
130793,107120,85
130793,107282,85
130793,107305,77
130793,107349,82
130793,107521,83
130793,107540,82
130793,107559,83
130793,107603,83
130793,107745,78
130793,107763,85
130793,107780,48
130793,107787,77
130793,107856,70
130793,107966,80
130793,107976,83
130793,107978,80
130793,107980,82
130793,108050,90
130793,108089,82
130793,108152,50
130793,108164,82
130793,108251,83
130793,108257,78
130793,108258,85
130793,108292,82
130793,108310,77
130793,108324,78
130793,108347,76
130793,108349,83
130793,108371,82
130793,108420,65
130793,108422,85
130793,108432,76
130793,108441,71
130793,108498,62
130793,108556,83
130793,108601,47
130793,108689,82
130793,108701,82
130793,108799,68
130793,108801,82
130793,108834,83
130793,108866,82
130793,108924,80
130793,108957,76
130793,108984,63
130793,109072,82
130793,109083,83
130793,109111,83
130793,109122,75
